Iteration	Posterior	Likelihood	Prior	acrv_sd	part_rate_trans	tree_length
1710	-3531.622	-3693.215	161.5928	1.250056	2.447971	5.908429
1716	-3537.326	-3697.184	159.858	1.223296	1.869311	7.175689
1722	-3534.655	-3695.953	161.2978	1.330891	3.17174	5.629457
1728	-3529.362	-3691.362	161.9998	1.287366	3.386485	5.148132
1734	-3527.258	-3688.449	161.1908	1.243402	2.742163	5.970911
1740	-3533.743	-3693.05	159.3069	1.296141	3.398543	6.609097
1746	-3534.521	-3695.702	161.1808	1.296141	2.783214	5.925169
1752	-3546.715	-3708.75	162.0347	1.31284	2.414844	5.65029
1758	-3540.723	-3702.922	162.199	1.361847	2.956277	5.23474
1764	-3535.861	-3698.177	162.3152	1.235891	2.575082	5.450383
1770	-3537.866	-3699.965	162.0987	1.335998	2.748149	5.419182
1776	-3523.536	-3685.438	161.9017	1.351224	3.008792	5.375706
1782	-3535.791	-3697.69	161.8988	1.301317	2.595877	5.631864
1788	-3533.747	-3694.424	160.6777	1.301317	3.248698	5.942892
1794	-3525.151	-3685.577	160.4256	1.481703	3.513104	5.837595
1800	-3532.899	-3691.169	158.2705	1.481703	2.846176	7.364824
1806	-3534.918	-3694.455	159.5366	1.302976	2.453716	6.991356
1812	-3545.76	-3705.324	159.5643	1.253674	2.308569	7.081076
1818	-3542.7	-3704.413	161.7134	1.362769	2.540449	5.730231
1824	-3534.297	-3693.837	159.5402	1.456899	3.355408	6.419012
1830	-3540.272	-3700.848	160.576	1.317058	2.95512	6.149749
1836	-3529.333	-3689.951	160.6184	1.23929	2.289643	6.530218
1842	-3533.674	-3695.264	161.5892	1.196313	2.817858	5.737472
1848	-3535.354	-3697.177	161.8225	1.585532	2.817858	5.395479
1854	-3541.176	-3703.008	161.8327	1.465098	2.817858	5.456203
1860	-3535.677	-3698.023	162.3464	1.317146	3.129808	5.081797
1866	-3532.421	-3694.301	161.8791	1.258459	3.129808	5.372604
1872	-3537.125	-3696.886	159.7614	1.522629	2.731729	6.601401
1878	-3533.913	-3693.875	159.9622	1.502504	2.551037	6.601401
1884	-3535.205	-3697.574	162.3696	1.13433	2.714128	5.399779
1890	-3538.709	-3699.084	160.3757	1.51924	3.086984	6.076954
1896	-3537.283	-3699.09	161.8073	1.326384	2.924606	5.487743
1902	-3527.748	-3689.809	162.0608	1.225576	3.02003	5.351063
1908	-3531.286	-3693.502	162.2163	1.354061	3.729963	4.79974
1914	-3527.185	-3688.876	161.6914	1.360426	3.02239	5.47902
1920	-3534.279	-3696.32	162.0412	1.172002	2.630923	5.605453
1926	-3536.561	-3699.006	162.445	1.156604	2.599361	5.409214
1932	-3528.733	-3688.594	159.8612	1.405805	2.169973	6.913905
1938	-3531.672	-3693.701	162.029	1.174213	2.32363	5.779378
1944	-3538.667	-3700.293	161.6261	1.283057	2.617622	5.779378
1950	-3541.417	-3703.53	162.1129	1.265078	2.284097	5.705304
1956	-3527.559	-3690.129	162.5706	1.289633	2.577267	5.278725
1962	-3523.559	-3685.284	161.7252	1.215762	2.132469	6.027076
1968	-3537.882	-3699.601	161.7189	1.315889	2.058174	6.016386
1974	-3538.53	-3700.988	162.4579	1.325362	2.668567	5.270826
1980	-3528.846	-3691.746	162.8997	1.256612	2.668567	5.06431
1986	-3535.48	-3697.539	162.0592	1.319657	2.668567	5.493756
1992	-3529.749	-3691.273	161.5242	1.450904	2.140919	6.003829
1998	-3526.927	-3688.177	161.2505	1.387401	2.478143	6.003829
2004	-3529.981	-3689.899	159.9183	1.387401	2.478143	6.72674
2010	-3525.11	-3687.699	162.5888	1.200758	2.635678	5.285512
2016	-3521.515	-3682.561	161.0462	1.320644	2.067762	6.374478
2022	-3534.418	-3694.811	160.3935	1.199409	2.041471	6.807483
2028	-3539.258	-3697.765	158.5067	1.360334	2.612638	7.428447
2034	-3528.833	-3687.71	158.8768	1.475226	2.061935	7.463711
2040	-3531.019	-3690.554	159.5345	1.511239	1.790324	7.237216
2046	-3535.037	-3696.668	161.6306	1.306792	1.964133	6.120714
2052	-3522.193	-3683.349	161.1561	1.347638	2.40139	6.118771
2058	-3524.363	-3686.649	162.2859	1.43258	3.05638	5.092064
2064	-3527.247	-3688.561	161.3141	1.410715	2.556269	5.913762
2070	-3528.831	-3690.651	161.8202	1.194951	1.837497	6.147335
2076	-3528.794	-3691.675	162.8816	1.25881	2.246593	5.306645
2082	-3527.459	-3688.633	161.1735	1.25881	2.19144	6.27178
2088	-3520.146	-3681.965	161.8188	1.288216	2.446804	5.764581
2094	-3527.343	-3688.816	161.473	1.296465	2.232968	6.065736
2100	-3537.026	-3699.92	162.8936	1.115305	2.661186	5.150116
2106	-3542.357	-3704.811	162.4535	1.203366	2.747379	5.297122
2112	-3541.634	-3703.726	162.0921	1.411073	2.768362	5.370319
2118	-3543.784	-3703.26	159.4761	1.421238	3.26759	6.520654
2124	-3541.353	-3701.736	160.3825	1.223783	2.425618	6.592687
2130	-3526.199	-3686.925	160.7256	1.386817	2.621273	6.212025
2136	-3533.602	-3694.234	160.6319	1.386817	2.46804	6.346193
2142	-3538.199	-3700.254	162.0559	1.220149	2.620157	5.576877
2148	-3535.165	-3694.299	159.1345	1.305286	2.620157	7.116907
2154	-3535.225	-3695.217	159.9917	1.360966	1.958186	6.981856
2160	-3529.504	-3689.517	160.0127	1.366347	2.188427	6.843549
2166	-3538.41	-3699.735	161.325	1.362444	2.609356	5.905131
2172	-3537.922	-3698.247	160.3254	1.362444	2.745072	6.37543
2178	-3535.577	-3695.549	159.9727	1.138576	2.00712	7.085474
2184	-3526.921	-3686.401	159.4792	1.524644	3.687037	6.235306
2190	-3534.43	-3695.577	161.1462	1.40127	3.760997	5.349943
2196	-3539.544	-3701.102	161.5575	1.2623	3.353922	5.424199
2202	-3533.468	-3695.676	162.208	1.209065	3.011962	5.283409
2208	-3528.015	-3689.567	161.5517	1.289683	2.697777	5.772605
2214	-3546.155	-3708.221	162.0663	1.198921	2.384071	5.712333
2220	-3536.328	-3697.404	161.0759	1.361791	2.377609	6.167642
2226	-3538.489	-3700.79	162.301	1.198131	2.57997	5.476308
2232	-3548.534	-3708.509	159.9741	1.355659	3.180263	6.333553
2238	-3550.514	-3709.139	158.6244	1.355659	4.314666	6.450367
2244	-3548.757	-3711.004	162.2475	1.21507	2.872403	5.335353
2250	-3536.888	-3699.785	162.8975	1.134368	2.83713	5.039809
2256	-3545.438	-3708.882	163.4444	1.193987	2.98154	4.620963
2262	-3540.206	-3702.335	162.1287	1.305186	2.457341	5.579562
2268	-3547.974	-3707.941	159.967	1.30355	2.868238	6.534793
2274	-3541.363	-3700.347	158.9841	1.390832	3.502985	6.67596
2280	-3529.031	-3689.684	160.6522	1.458069	2.857754	6.084522
2286	-3536.813	-3698.316	161.5035	1.280549	3.07944	5.594835
2292	-3539.585	-3701.46	161.875	1.27229	3.07944	5.395026
2298	-3535.57	-3696.589	161.0194	1.306354	3.380533	5.681089
2304	-3534.772	-3697.57	162.7978	1.345116	3.558398	4.575322
2310	-3525.243	-3686.747	161.5044	1.360269	2.468546	5.885266
2316	-3537.371	-3699.443	162.0725	1.253542	2.688201	5.511991
2322	-3539.354	-3701.459	162.1045	1.256509	2.688201	5.492778
2328	-3533.556	-3694.274	160.7186	1.256509	2.718219	6.23401
2334	-3529.266	-3688.873	159.6069	1.262278	2.480263	6.961111
2340	-3543.837	-3702.795	158.9582	1.421253	2.608351	7.155708
2346	-3537.526	-3696.453	158.9263	1.478164	1.930014	7.506297
2352	-3534.181	-3694.025	159.8445	1.464679	2.317702	6.811484
2358	-3536.003	-3695.717	159.7136	1.284283	2.093839	7.099825
2364	-3540.949	-3701.34	160.3917	1.295618	2.251377	6.643097
2370	-3538.581	-3699.736	161.1555	1.295618	2.216003	6.248238
2376	-3538.817	-3700.348	161.531	1.375286	2.555412	5.815001
2382	-3528.804	-3690.108	161.3042	1.343912	3.075211	5.671711
2388	-3528.955	-3691.38	162.425	1.326943	2.506232	5.377707
