Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	tree_length
1740	-629.2197	-793.4295	164.2098	3.987431	4.495836	2.039973
1746	-630.634	-795.5429	164.9088	2.594699	4.474644	2.206008
1752	-630.8266	-794.6955	163.8689	4.706994	4.454312	2.022256
1758	-621.9385	-787.8664	165.928	2.544357	3.774139	2.022256
1764	-624.7015	-789.1317	164.4302	4.877206	3.920511	1.942905
1770	-623.923	-788.6627	164.7397	3.261238	4.605027	1.919423
1776	-645.7976	-810.803	165.0054	2.983954	4.529309	1.919423
1782	-637.5223	-801.2441	163.7218	4.304519	4.89236	1.977522
1788	-635.5746	-800.7336	165.1589	2.615738	4.226418	2.194566
1794	-627.2227	-791.8817	164.659	2.866165	4.619535	2.144729
1800	-624.5768	-788.2602	163.6834	4.822648	4.817151	1.860926
1806	-636.8024	-801.5138	164.7114	2.625405	5.099575	1.908256
1812	-632.065	-796.8029	164.7379	3.236213	4.276064	2.149875
1818	-631.0263	-796.0204	164.9941	3.793584	3.604182	2.187285
1824	-628.0842	-792.564	164.4798	3.620339	4.529667	1.987867
1830	-630.9236	-795.6989	164.7753	3.498876	4.475499	1.877312
1836	-626.7669	-790.3478	163.5809	4.001271	5.236571	1.959902
1842	-625.8449	-790.679	164.834	3.874555	3.064607	2.598472
1848	-631.0865	-795.7829	164.6964	3.58644	3.628542	2.444219
1854	-632.6212	-797.7939	165.1727	3.286969	3.628542	2.265474
1860	-634.2506	-798.5168	164.2662	4.124846	4.011984	2.265474
1866	-633.2854	-798.2057	164.9203	3.35171	3.77598	2.305188
1872	-630.6024	-795.4387	164.8363	3.741035	3.388306	2.446318
1878	-630.817	-795.2712	164.4543	3.741035	3.850224	2.395961
1884	-640.0777	-805.0542	164.9765	2.205216	4.65942	2.23962
1890	-631.1088	-795.5841	164.4753	4.188041	4.609249	1.70041
1896	-634.4359	-798.5552	164.1193	4.188041	4.853064	1.779079
1902	-642.8936	-807.0069	164.1133	2.764713	5.782936	1.779079
1908	-641.681	-805.7599	164.0788	3.817704	5.107893	1.783655
1914	-655.1906	-819.1594	163.9688	4.311824	4.886861	1.810573
1920	-646.2876	-808.5501	162.2625	7.164537	5.663557	1.487877
1926	-640.4059	-803.0422	162.6363	7.164537	5.186791	1.564454
1932	-628.452	-791.6332	163.1813	5.36358	5.366073	1.632442
1938	-627.9931	-792.5849	164.5917	2.791056	5.492628	1.632442
1944	-628.8592	-792.5437	163.6845	5.173745	5.201327	1.452906
1950	-636.3567	-798.6218	162.2651	6.092688	6.373526	1.296931
1956	-640.191	-803.1373	162.9463	5.577826	5.524035	1.611642
1962	-643.7635	-806.5262	162.7627	5.286337	5.852197	1.611642
1968	-655.3647	-817.8501	162.4854	5.937573	6.17516	1.337308
1974	-660.3662	-822.3231	161.9569	6.556811	6.553185	1.230521
1980	-656.8104	-819.7985	162.988	4.727016	5.85063	1.660619
1986	-647.0618	-809.9799	162.9182	4.958776	6.025029	1.4937
1992	-644.0116	-807.1193	163.1077	5.508044	5.564298	1.487964
1998	-642.9609	-805.8768	162.916	5.094618	5.869194	1.558681
2004	-651.2547	-810.388	159.1332	9.691295	8.260871	1.156652
2010	-650.912	-815.2198	164.3078	3.519066	5.045068	1.79833
2016	-635.686	-799.883	164.197	3.519066	4.326394	2.345965
2022	-642.7966	-807.0529	164.2563	4.981492	3.78544	2.111529
2028	-647.0745	-811.1314	164.0569	4.639759	3.751465	2.379238
2034	-636.3161	-800.6054	164.2893	4.125494	4.090754	2.199582
2040	-627.943	-792.4621	164.5191	4.413372	3.935272	2.042775
2046	-628.0114	-793.1485	165.1371	3.072812	4.045557	2.112382
2052	-634.7612	-797.9594	163.1982	6.0008	4.339857	2.112382
2058	-636.9274	-801.6827	164.7553	3.323739	4.339857	2.058368
2064	-638.8793	-803.0803	164.201	3.943266	4.760087	1.886372
2070	-656.8216	-820.255	163.4334	5.367062	4.239538	2.223232
2076	-644.2255	-809.0999	164.8744	3.615068	4.222638	1.931355
2082	-647.1489	-810.0715	162.9227	4.949853	5.843009	1.627773
2088	-651.6343	-815.1824	163.548	4.454862	5.53334	1.593437
2094	-647.5668	-810.7229	163.1562	4.576444	5.938311	1.534165
2100	-636.22	-798.8698	162.6498	6.653639	5.399854	1.557318
2106	-637.8851	-800.758	162.8729	6.649323	4.724721	1.877895
2112	-620.8877	-785.269	164.3812	3.669809	4.565055	2.009247
2118	-622.7055	-785.9021	163.1966	4.897707	5.82452	1.459116
2124	-637.5183	-801.4031	163.8848	3.97397	5.147004	1.825304
2130	-637.8586	-802.8432	164.9846	3.124459	3.983034	2.229036
2136	-637.8559	-802.0266	164.1707	3.994393	4.141338	2.293225
2142	-639.2201	-804.318	165.0979	2.862105	4.141338	2.172203
2148	-642.3527	-807.3885	165.0358	2.869826	4.141338	2.208867
2154	-630.3284	-794.5452	164.2168	3.923161	4.455615	2.087363
2160	-631.9483	-796.3478	164.3995	3.573735	4.342363	2.183351
2166	-634.8438	-798.908	164.0642	4.905191	3.549575	2.412149
2172	-628.7957	-794.2679	165.4722	2.992195	3.576656	2.235727
2178	-628.7696	-793.6941	164.9245	3.550008	3.751448	2.235727
2184	-646.7495	-811.4591	164.7096	3.179348	4.630516	1.959696
2190	-633.4291	-796.5437	163.1146	5.456695	5.085112	1.844046
2196	-633.3963	-797.1385	163.7422	4.071554	5.535289	1.611059
2202	-633.9393	-797.0007	163.0613	5.359694	5.254451	1.797271
2208	-629.069	-792.4509	163.3819	4.770831	5.23893	1.797271
2214	-639.1056	-802.6615	163.5559	4.246238	5.64381	1.593513
2220	-635.6665	-798.7037	163.0372	5.222323	5.64381	1.587071
2226	-630.9294	-794.53	163.6007	4.141555	5.64381	1.605139
2232	-637.5121	-802.2627	164.7507	2.608711	5.690563	1.468356
2238	-641.719	-804.5654	162.8464	5.042113	6.234228	1.354207
2244	-637.4742	-798.9372	161.4629	6.070519	7.099928	1.365782
2250	-628.2382	-791.8021	163.5638	4.795093	5.579737	1.406963
2256	-633.5948	-797.2059	163.6111	4.744396	4.905397	1.878663
2262	-646.9342	-810.4914	163.5573	4.610975	4.992382	1.905456
2268	-665.6258	-829.8862	164.2604	3.317631	4.992382	1.956092
2274	-663.0398	-825.7686	162.7288	5.892742	5.443892	1.716589
2280	-640.2579	-804.2157	163.9578	3.692011	5.461818	1.674516
2286	-637.9319	-802.2359	164.304	3.253189	4.862577	2.042185
2292	-638.3681	-801.9233	163.5552	5.051724	4.632586	1.99081
2298	-637.8309	-801.2104	163.3795	4.447311	5.953299	1.407971
2304	-634.9158	-797.211	162.2952	5.855342	6.350536	1.37968
2310	-644.3686	-806.1946	161.826	7.306847	6.120234	1.427924
2316	-640.6605	-802.8398	162.1792	6.600833	5.965993	1.503478
2322	-642.2277	-805.4413	163.2136	3.943547	6.284057	1.505085
2328	-641.4987	-804.1954	162.6968	6.47424	5.515646	1.494864
2334	-638.7849	-801.7181	162.9332	4.844801	6.173131	1.415271
2340	-641.4956	-803.6591	162.1635	6.429696	6.173131	1.415271
2346	-649.255	-812.3424	163.0874	5.040785	5.352664	1.823647
2352	-637.7813	-803.2977	165.5164	2.29934	4.698922	1.803814
2358	-636.2578	-801.3797	165.1219	2.822847	4.698922	1.802173
2364	-631.8084	-796.1892	164.3808	2.918331	5.371694	1.802173
2370	-627.132	-790.425	163.293	5.248616	5.57256	1.439298
2376	-630.3242	-794.5199	164.1957	4.730671	4.563741	1.715488
2382	-623.4691	-787.1542	163.685	4.730671	5.071547	1.717515
2388	-637.4174	-800.24	162.8226	5.506318	5.690725	1.60587
2394	-632.5333	-795.9312	163.3979	5.506318	5.236375	1.516895
2400	-636.4807	-800.6194	164.1387	3.597568	5.556753	1.516895
