Iteration	Posterior	Likelihood	Prior	part_rate_trans	tree_length
2178	-91.45782	-262.6681	171.2103	1.753937	1.323793
2184	-93.44639	-264.3421	170.8957	2.29806	1.129799
2190	-89.18323	-259.3378	170.1546	2.956795	1.201882
2196	-85.9121	-256.3385	170.4264	2.95051	0.9532565
2202	-87.50637	-257.9784	170.472	3.033669	0.8033037
2208	-98.13764	-268.542	170.4044	3.229664	0.5467514
2214	-91.98244	-262.0499	170.0675	3.51669	0.6827352
2220	-84.22792	-254.3937	170.1658	3.301752	0.8514451
2226	-88.98116	-259.7927	170.8116	2.616284	0.8978454
2232	-77.44179	-248.1293	170.6875	2.740289	0.8978454
2238	-92.10153	-262.4465	170.3449	2.53442	1.390962
2244	-74.67847	-245.9158	171.2374	1.760921	1.296224
2250	-75.41241	-245.9121	170.4997	2.576004	1.232181
2256	-78.39763	-249.1834	170.7857	2.479252	1.064324
2262	-79.50062	-248.2568	168.7562	4.850047	0.6370964
2268	-97.23997	-265.5296	168.2896	5.347392	0.5240214
2274	-89.01467	-257.3054	168.2907	5.347392	0.501848
2280	-81.21103	-251.4752	170.2641	3.276649	0.7542123
2286	-79.64557	-250.4293	170.7837	2.337774	1.193206
2292	-88.00224	-258.4049	170.4026	2.760582	1.156905
2298	-93.24463	-263.8173	170.5726	3.049149	0.5959295
2304	-95.21581	-265.3913	170.1755	3.049149	1.101782
2310	-83.56779	-254.2655	170.6977	2.554951	1.075853
2316	-81.6606	-252.6096	170.949	1.927999	1.392813
2322	-86.77479	-257.7978	171.023	1.927999	1.33438
2328	-89.62212	-261.0219	171.3998	1.471426	1.397328
2334	-92.49636	-263.9927	171.4963	1.240247	1.500147
2340	-92.91812	-264.0756	171.1574	1.245454	1.741589
2346	-83.78722	-254.5602	170.773	2.185828	1.328113
2352	-87.77804	-258.881	171.103	2.114161	1.108648
2358	-104.6139	-274.9244	170.3105	2.473368	1.464436
2364	-93.82616	-264.9538	171.1276	1.656231	1.464436
2370	-98.70682	-269.4074	170.7006	1.482748	1.89308
2376	-100.8036	-272.2147	171.4111	1.389415	1.451785
2382	-97.51037	-267.4234	169.913	3.26947	1.139823
2388	-98.17255	-268.4496	170.277	2.710913	1.304635
2394	-110.6403	-281.6405	171.0002	1.739333	1.497939
2400	-91.3531	-262.4574	171.1043	1.692136	1.454864
2406	-92.83349	-263.6174	170.7839	1.910943	1.531257
2412	-97.12081	-267.47	170.3492	2.433638	1.465224
2418	-99.0098	-269.2273	170.2175	2.565303	1.465224
2424	-95.67898	-267.1202	171.4412	1.670184	1.201875
2430	-101.9722	-273.1097	171.1375	1.106966	1.851385
2436	-92.96575	-264.2305	171.2648	1.398137	1.554877
2442	-84.04435	-255.0286	170.9842	1.960478	1.339418
2448	-77.15637	-247.6596	170.5032	2.029429	1.649593
2454	-86.47359	-256.6449	170.1713	2.944565	1.198022
2460	-84.11783	-254.8974	170.7796	2.336333	1.198022
2466	-85.29888	-255.8618	170.5629	2.562096	1.190223
2472	-83.50691	-254.1052	170.5983	2.502249	1.211166
2478	-96.25344	-267.184	170.9306	1.652548	1.61318
2484	-90.38213	-261.5134	171.1313	1.652548	1.464488
2490	-92.27314	-262.7715	170.4984	2.349997	1.41502
2496	-88.41556	-259.2445	170.8289	2.367648	1.127232
2502	-84.64065	-255.8231	171.1825	2.184014	0.9641585
2508	-79.74423	-251.0121	171.2678	1.418094	1.537885
2514	-86.59787	-257.6382	171.0403	1.665081	1.523401
2520	-89.76657	-260.5065	170.7399	2.104497	1.41807
2526	-92.38662	-262.8899	170.5032	2.11787	1.585546
2532	-106.0815	-277.0279	170.9464	2.384645	1.000256
2538	-94.09362	-264.9638	170.8702	1.935225	1.448049
2544	-95.92258	-266.384	170.4614	1.089734	2.308315
2550	-93.23198	-262.9684	169.7364	1.074996	2.769199
2556	-91.19678	-262.3138	171.117	1.345049	1.699887
2562	-88.50978	-258.7309	170.2211	1.63185	2.113271
