Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
1614	-226.3004	-386.9842	160.6838	4.432822	1.53528	0.5899824	1.127529	4.286253
1620	-225.9082	-392.1039	166.1957	0.63242	0.8120378	0.8569067	1.251066	3.497656
1626	-217.6828	-382.7493	165.0665	1.109032	1.594009	1.007124	0.9926122	3.497656
1632	-230.5361	-393.5697	163.0337	1.1464	2.23842	0.7149307	0.873798	4.551979
1638	-241.4544	-401.6722	160.2178	1.055145	1.387621	0.7149307	0.7322089	6.639664
1644	-241.3282	-402.6582	161.33	2.488415	1.357127	0.6666948	1.153294	5.056841
1650	-236.2981	-401.3255	165.0274	1.756078	1.447037	1.084468	1.661276	2.77323
1656	-237.6752	-403.8375	166.1622	0.5807268	1.171043	1.324399	2.512809	2.287068
1662	-236.1585	-402.604	166.4455	0.6574053	2.395223	0.8327234	1.554968	2.287068
1668	-234.1544	-398.6012	164.4468	1.46308	2.395223	0.6936244	2.72154	2.388266
1674	-229.6476	-395.5191	165.8715	1.125035	0.9900842	1.454565	1.826295	2.594514
1680	-226.6644	-389.8279	163.1634	2.847709	1.575814	1.312724	1.397478	3.188528
1686	-213.9689	-375.8595	161.8906	3.527692	1.573956	1.006508	1.274433	3.784268
1692	-236.8036	-398.3868	161.5832	4.467072	1.120529	0.7533606	3.26923	2.632322
1698	-219.6144	-380.8219	161.2076	5.273687	1.580011	0.8775242	1.646046	3.014868
1704	-214.2647	-380.0936	165.8289	2.442129	1.293684	0.5421073	1.646046	2.263805
1710	-232.0098	-396.5658	164.556	1.923745	0.8705456	1.507911	1.74278	3.002079
1716	-210.0582	-376.4406	166.3824	1.12858	1.691576	0.6658632	1.803155	2.346118
1722	-211.6962	-376.1649	164.4687	3.766282	0.8726452	0.6519335	1.76148	2.422505
1728	-223.9301	-388.3543	164.4242	2.921327	0.557574	0.5292151	1.68991	3.240558
1734	-226.9806	-392.5091	165.5285	2.477032	1.454807	0.6784413	1.982984	2.043571
1740	-243.0657	-406.5369	163.4713	2.508437	1.286203	0.7460866	2.432644	3.087535
1746	-235.0939	-399.7452	164.6514	2.508437	0.7107798	0.9178838	1.803788	2.996134
1752	-230.1811	-394.4653	164.2841	2.399986	1.012711	1.2769	1.803788	2.88985
1758	-222.8173	-386.8296	164.0124	2.20505	1.086686	0.9041246	1.850001	3.317095
1764	-250.7042	-418.2868	167.5826	0.7379396	0.8810172	0.4905548	1.545376	2.575365
1770	-242.801	-405.9472	163.1462	1.60677	1.412378	0.9601158	3.033242	3.262298
1776	-245.7171	-411.9321	166.215	1.264198	2.853314	0.3416945	1.749762	1.903682
1782	-234.3307	-398.5104	164.1798	1.769733	1.737362	1.31681	2.281562	2.599908
1788	-224.7881	-390.5969	165.8087	1.041726	1.330965	1.214065	1.394684	2.883919
1794	-226.9772	-388.5711	161.5939	1.010086	3.087084	1.517608	1.455503	4.314626
