"scenario","gridTag","modelID","median_cid","iqr_cid","n_reps","tree_length","gain_loss","n_char","n_taxa","part_rate","pass_rate","mean_rhat_max","mean_ess_min","mean_asdsf","mean_tree_ess","n_reps_conv","cov_tree_len","mse_tree_len","cov_error_tree_len","mean_cov_rate_loss","mean_mse_rate_loss","cov_error_rate_loss","mean_cgr_coverage","cov_error_cgr"
"nt","tl2.50_gl1.00_pr2.50_c100","model6",0.292104425703239,0.0635287966676988,10,2.5,1,100,50,2.5,1,0.999345179509745,783.030030200032,0.00628163362853974,444.654864130325,10,0.5,21.2994046950044,0.45,NA,NA,NA,0.5,0.45
"nt","tl2.50_gl1.00_pr2.50_c100","model7",0.312180780745454,0.0907751087904456,7,2.5,1,100,50,2.5,0.7,0.99949207578233,611.883179934473,0.00546284614569713,490.178086614751,10,0.1,13.1883276269169,0.85,1,0.019478386759073,0.05,0.571428571428571,0.378571428571429
"nt","tl2.50_gl1.00_pr2.50_c100","model8",0.291399343987186,0.0934590602259009,10,2.5,1,100,50,2.5,1,0.999334778995838,757.039913394545,0.00655387266770408,466.078178797799,10,0.4,21.0357990781631,0.55,NA,NA,NA,0.7,0.25
"nt","tl2.50_gl1.00_pr2.50_c100","model9",0.289160820784139,0.0660820421314564,10,2.5,1,100,50,2.5,1,0.999575017841114,758.39550825009,0.00475414228783264,528.773563974568,10,0.1,35.6396220653449,0.85,1,0.011811711687638,0.05,0.7,0.25
"nt","tl2.50_gl1.00_pr2.50_c200","model1",0.199875028462492,0.0972401872516951,10,2.5,1,200,50,2.5,1,0.999219822243903,747.234359369998,0.00833198157315236,440.355785332002,10,0.4,3.25604544648733,0.55,NA,NA,NA,0.4,0.55
"nt","tl2.50_gl1.00_pr2.50_c200","model10",0.182888812242051,0.0574520789191668,10,2.5,1,200,50,2.5,1,0.999365686336549,803.240680478659,0.00730833031849705,527.810569485449,10,0.3,18.9896507212356,0.65,NA,NA,NA,0.65,0.3
"nt","tl2.50_gl1.00_pr2.50_c200","model11",0.189129869426613,0.0844820020530213,10,2.5,1,200,50,2.5,1,0.99924864498982,759.582468385847,0.00965048073246521,316.975449820892,10,0.5,1.82974040585683,0.45,NA,NA,NA,0.5,0.45
"nt","tl2.50_gl1.00_pr2.50_c200","model2",0.185816811432409,0.0406527958493627,10,2.5,1,200,50,2.5,1,0.99932308377762,826.456552674509,0.00721810701309839,485.456678388471,10,0.5,42.8300630500783,0.45,NA,NA,NA,0.5,0.45
"nt","tl2.50_gl1.00_pr2.50_c200","model3",0.198257891340608,0.0927862508970005,10,2.5,1,200,50,2.5,1,0.9991968643475,757.49857810589,0.0077716174339389,441.776492711927,10,0.4,3.18911734232849,0.55,0.9,0.00888876409964857,0.0499999999999999,0.65,0.3
"nt","tl2.50_gl1.00_pr2.50_c200","model4",0.196274983584624,0.0872537659895479,10,2.5,1,200,50,2.5,1,0.999398261416596,767.541303552083,0.00671167123338294,508.537910779773,10,0.3,1.31866895669372,0.65,NA,NA,NA,0.3,0.65
"nt","tl2.50_gl1.00_pr2.50_c200","model5",0.19635677833186,0.085066218541154,10,2.5,1,200,50,2.5,1,0.999425806210795,705.116955718764,0.00667331465289002,546.382391244178,10,0.2,1.30795915016661,0.75,NA,NA,NA,0.55,0.4
"nt","tl2.50_gl1.00_pr2.50_c200","model6",0.184143385023822,0.0505830345784052,10,2.5,1,200,50,2.5,1,0.999342498678519,827.526517769609,0.0071691821118767,533.4687235109,10,0.3,19.203040093104,0.65,NA,NA,NA,0.3,0.65
"nt","tl2.50_gl1.00_pr2.50_c200","model7",0.188934104107198,0.0582174956707149,8,2.5,1,200,50,2.5,0.8,0.999461279709215,568.892535061899,0.0062444007760118,529.725592175868,10,0.2,7.27186856810229,0.75,1,0.0102214632781445,0.05,0.625,0.325
"nt","tl2.50_gl1.00_pr2.50_c200","model8",0.185023482143888,0.0568320054229168,10,2.5,1,200,50,2.5,1,0.99931833430306,753.423997858105,0.00736333729033694,469.19505150572,10,0.3,19.010322018275,0.65,NA,NA,NA,0.65,0.3
"nt","tl2.50_gl1.00_pr2.50_c200","model9",0.183279646584707,0.0298418594853488,4,2.5,1,200,50,2.5,0.4,0.999774281803554,304.123189569153,0.00402697841563218,582.027294930234,10,0.5,1.18151193751101,0.45,1,0.0074253236922147,0.05,0.5,0.45
"nt","tl2.50_gl1.00_pr2.50_c25","model1",0.595324498148492,0.102257458943241,10,2.5,1,25,50,2.5,1,0.999432487914509,727.69758628761,0.00605549086459594,465.844776275634,10,0.7,0.353712322287143,0.25,NA,NA,NA,0.7,0.25
"nt","tl2.50_gl1.00_pr2.50_c25","model10",0.589392494911424,0.104235245080834,10,2.5,1,25,50,2.5,1,0.999518754340619,740.347753398444,0.00542484652602158,501.410630417195,10,0.5,1.2518919554801,0.45,NA,NA,NA,0.75,0.2
"nt","tl2.50_gl1.00_pr2.50_c25","model11",0.55502377434555,0.105614255665092,10,2.5,1,25,50,2.5,1,0.999474382087634,742.618017476659,0.00580939008843205,331.654335153547,10,0.9,0.227363239388658,0.0499999999999999,NA,NA,NA,0.9,0.0499999999999999
"nt","tl2.50_gl1.00_pr2.50_c25","model12",0.586480638581151,0.10220573539855,10,2.5,1,25,50,2.5,1,0.999720090293092,762.733342668901,0.00417237953225622,450.982790659346,10,0,2.52163563215264,0.95,NA,NA,NA,0,0.95
"nt","tl2.50_gl1.00_pr2.50_c25","model2",0.595342136727003,0.107659988200401,10,2.5,1,25,50,2.5,1,0.999458625058632,725.199515756596,0.00601996540958252,442.332806061882,10,0.7,1.74921906298747,0.25,NA,NA,NA,0.7,0.25
