Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	tree_length
1824	-1153.996	-1306.915	152.9195	1.821232	1.064565	0.7489368	10.65056
1830	-1151.97	-1310.442	158.4717	1.729326	0.62635	1.331058	7.681355
1836	-1148.606	-1304.109	155.5027	1.729326	0.8619416	1.055346	9.286046
1842	-1155.33	-1308.227	152.8975	1.645003	0.7970126	0.9432056	10.79391
1848	-1140.231	-1296.908	156.6771	1.579177	0.7779749	1.0615	8.784086
1854	-1148.942	-1304.843	155.9013	1.732975	1.047935	1.044227	8.981042
1860	-1160.844	-1311.999	151.1549	2.09965	1.095773	1.126515	11.21722
1866	-1170.952	-1316.488	145.536	2.09965	1.105473	1.485758	13.95706
1872	-1148.487	-1300.437	151.95	1.984906	1.145218	0.7902992	11.01011
1878	-1148.038	-1302.954	154.9163	1.984906	0.7860167	0.5887382	9.734569
1884	-1139.526	-1294.317	154.7912	1.788676	0.8674126	0.8304545	9.745468
1890	-1151.82	-1308.52	156.6999	1.836204	0.8237653	1.043679	8.621463
1896	-1152.142	-1307.811	155.669	1.789388	0.70254	1.043679	9.253544
1902	-1146.726	-1301.953	155.2273	1.656144	0.9231584	1.107837	9.410436
1908	-1138.644	-1295.73	157.0856	1.679355	0.9062391	0.9351862	8.514276
1914	-1140.058	-1293.158	153.0998	1.775324	1.116506	0.9102564	10.47005
1920	-1156.313	-1311.144	154.8304	1.801031	0.9765035	1.032121	9.5552
1926	-1160.811	-1316.102	155.2909	1.775834	0.8901605	1.032121	9.370879
1932	-1157.437	-1309.892	152.4551	1.882463	1.105515	0.8460966	10.79118
1938	-1151.38	-1307.573	156.1929	1.693678	0.661351	0.8440859	9.151965
1944	-1163.741	-1319.639	155.898	1.720817	0.9397203	0.8440859	9.151965
1950	-1148.441	-1304.326	155.8852	1.720817	0.9397203	0.8570727	9.151965
1956	-1142.822	-1298.463	155.6407	1.726456	1.036543	0.8570727	9.227098
1962	-1144.54	-1301.618	157.0777	1.609353	0.9087107	0.7552788	8.648048
1968	-1156.973	-1313.715	156.7421	1.82831	0.9503439	1.270843	8.417256
1974	-1153.241	-1306.516	153.2755	1.996779	0.9570902	1.016564	10.28928
1980	-1153.62	-1306.601	152.9811	1.790403	0.9258295	0.9636259	10.59643
1986	-1150.236	-1306.787	156.5508	1.683706	1.246576	1.02328	8.56956
1992	-1158.405	-1316.348	157.9426	1.613348	0.9372573	0.8432989	8.125542
1998	-1148.5	-1301.547	153.047	1.901472	1.120823	1.045238	10.35849
2004	-1144.661	-1302.18	157.5188	1.746079	0.68032	0.8807653	8.392891
2010	-1143.13	-1298.009	154.8794	1.750386	0.7055865	1.061123	9.680285
2016	-1150.94	-1303.551	152.611	1.916633	0.9087291	1.062775	10.68131
