Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	part_rate_trans	tree_length
1740	-672.3827	-842.8361	170.4534	0.3182095	1.28434	1.293585	1.063673
1746	-678.8947	-849.2844	170.3897	0.2565869	1.28434	1.281606	1.187246
1752	-680.7844	-851.5024	170.718	0.7777325	0.4277491	1.487874	0.9134302
1758	-675.1273	-845.9332	170.8059	0.4615566	1.127776	1.099994	0.9134302
1764	-670.0704	-839.7925	169.7221	1.289475	1.389847	1.099994	0.9134302
1770	-666.3599	-836.421	170.0611	0.4524554	1.314893	1.651828	0.9334236
1776	-673.5236	-844.1323	170.6087	0.4524554	0.8928521	0.8907555	1.479528
1782	-678.3906	-849.3614	170.9708	0.3651144	1.071545	0.688865	1.282427
1788	-681.5424	-852.286	170.7437	0.1926676	0.9940103	1.27432	1.191415
1794	-678.4373	-848.4115	169.9742	0.4453052	1.562739	0.838779	1.510038
1800	-670.3962	-841.2219	170.8257	0.2674887	1.159296	1.033128	1.120556
1806	-669.7488	-840.7332	170.9844	0.1405318	0.6871742	1.383081	1.192661
1812	-662.8506	-833.73	170.8794	0.486098	1.002518	1.258988	0.7465329
1818	-669.7267	-839.1264	169.3997	0.9340203	1.837384	1.504319	0.7397594
1824	-673.3562	-843.5012	170.145	0.5973212	1.411726	1.484781	0.7397594
1830	-667.7179	-837.85	170.132	0.5004065	1.325094	1.620139	0.8202886
1836	-674.6352	-844.1545	169.5193	1.169762	1.325094	1.672962	0.6466028
1842	-665.8281	-835.8035	169.9754	1.27632	1.390237	1.040628	0.6614438
1848	-681.5065	-851.0862	169.5797	1.06702	0.9508896	2.027497	0.749268
1854	-678.2848	-848.138	169.8532	0.7957624	1.332095	1.669545	0.7157972
1860	-683.3979	-851.4428	168.0449	1.623338	2.982971	1.219512	0.8148193
1866	-676.1795	-846.0654	169.8859	1.623338	0.8751358	1.133543	0.8871984
1872	-668.3729	-839.0969	170.724	0.3084514	0.7108611	1.239965	1.368269
1878	-664.9806	-836.5445	171.5638	0.1962155	0.6128674	0.9782556	1.042884
1884	-661.3542	-832.1011	170.7469	0.5417583	0.8947222	1.073582	1.145511
1890	-666.6326	-837.6327	171.0001	0.03831843	0.9936691	1.193496	1.173246
1896	-669.7999	-840.5418	170.7418	0.5405365	0.9680823	0.9751647	1.173246
1902	-661.9713	-832.8475	170.8762	0.3145232	0.8460597	0.8354096	1.458385
1908	-662.6887	-833.2442	170.5555	0.8448783	1.107795	0.527436	1.331669
1914	-667.1968	-838.3115	171.1147	0.07824319	0.7402436	0.8477135	1.524415
1920	-671.2546	-841.6411	170.3865	0.5155423	1.268908	0.7192049	1.447039
1926	-675.9704	-846.3524	170.3821	0.8931923	0.9329579	1.22059	0.9833595
1932	-661.8077	-832.8953	171.0876	0.1822832	0.9329579	0.9356432	1.247446
1938	-672.0974	-843.0324	170.935	0.318896	0.8205172	1.239952	1.092704
