Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
1164	-1426.136	-1590.976	164.8398	1.133095	1.148759	0.4804421	0.5920462	0.8064826	0.5054774	4.61368
1170	-1429.825	-1593.442	163.6174	1.133095	0.9284824	0.5428271	0.5363236	0.6759661	0.4978523	5.487488
1176	-1420.813	-1585.918	165.1058	1.191899	1.029286	0.643242	0.6304673	0.6759661	0.463203	4.482722
1182	-1416.504	-1580.582	164.0779	1.047463	1.103306	0.643242	0.6304673	0.7784616	0.766449	4.869939
1188	-1425.173	-1588.891	163.7187	1.184113	1.06233	0.643242	0.9322549	0.7784616	1.03223	4.700649
1194	-1422.638	-1586.924	164.2864	1.20624	1.133285	0.643242	0.8084179	0.7784616	1.00072	4.416983
1200	-1430.781	-1595.078	164.2979	0.9843354	1.083611	0.643242	0.707228	1.034802	1.049927	4.447745
1206	-1432.136	-1595.819	163.6835	1.122502	1.353296	0.7686093	1.101273	1.034802	0.7373389	4.447745
1212	-1427.821	-1591.563	163.7423	1.143323	1.057501	1.533929	0.8152815	1.034802	0.798432	4.264677
1218	-1415.611	-1579.137	163.5253	1.143323	1.072667	1.029595	1.132288	1.034802	1.281721	4.211285
1224	-1424.957	-1588.546	163.5888	1.143323	1.1206	1.029595	1.102216	1.034802	1.693948	3.929907
1230	-1441.045	-1604.504	163.4591	1.367185	1.263391	1.029595	1.639404	1.043711	1.318176	3.698512
1236	-1422.574	-1587.359	164.7849	0.9466275	1.362738	1.029595	1.212562	0.9276862	1.006676	3.608235
1242	-1428.944	-1592.954	164.0094	0.8993344	0.9671046	1.265711	1.397733	1.052928	0.7024415	4.168409
1248	-1414.272	-1577.577	163.3045	0.8016849	1.053622	1.187624	1.313377	1.052928	1.165535	4.402697
1254	-1415.281	-1577.054	161.7732	1.131928	1.011334	1.862962	1.300422	1.052928	1.165535	4.730039
1260	-1413.038	-1575.738	162.7008	0.9185782	0.983844	1.572973	1.189856	1.168112	1.167252	4.503771
1266	-1421.181	-1584.356	163.175	0.9590522	0.9898451	1.172072	0.9501755	1.155223	0.8548141	4.753357
1272	-1421.774	-1583.753	161.9788	1.278466	0.9541191	0.9680119	1.006884	0.735816	1.082762	5.448624
1278	-1433.602	-1596.574	162.9721	1.122647	0.9541191	0.9680119	0.6905786	0.735816	1.082762	5.159584
1284	-1426.225	-1589.361	163.1352	1.133954	0.9973436	0.8080288	0.651952	1.023202	0.9093181	5.08596
1290	-1433.959	-1597.765	163.806	1.360419	0.996671	1.039483	0.8058183	0.6331292	0.5278913	4.804759
1296	-1423.888	-1588.616	164.7276	0.8951083	1.184073	0.4388606	0.6342189	0.3523851	0.5100547	5.039463
1302	-1429.896	-1595.855	165.9586	1.250697	1.044533	0.5935026	0.5273384	0.5120892	0.3982808	4.175105
1308	-1417.762	-1583.946	166.1839	1.022845	0.9756143	0.5935026	0.4229573	0.6269272	0.3982808	4.208594
1314	-1415.24	-1581.983	166.7431	1.104212	1.262324	0.3743041	0.4700549	0.3825359	0.2623071	3.995263
1320	-1424.606	-1591.699	167.0926	1.016005	1.173273	0.3283323	0.2916778	0.3825359	0.3324449	3.984855
1326	-1425.119	-1591.463	166.3439	1.014401	1.080776	0.1866237	0.2937453	0.2154034	0.2633095	4.673963
1332	-1416.791	-1583.258	166.4673	1.034337	1.092306	0.1866237	0.2817846	0.2631931	0.3519251	4.517287
1338	-1416.113	-1582.834	166.7207	0.836525	1.092306	0.1866237	0.2326158	0.2631931	0.3034418	4.540379
1344	-1420.668	-1586.504	165.8365	1.099087	1.129523	0.1866237	0.2153274	0.2631931	0.282021	4.889562
1350	-1433.872	-1599.943	166.0713	1.103853	1.064902	0.4022927	0.2188408	0.2849591	0.2221356	4.690782
1356	-1417.631	-1584.495	166.863	0.7458103	1.024444	0.1236978	0.1756168	0.1906989	0.2096386	4.708291
1362	-1432.803	-1599.129	166.3266	1.046517	1.02257	0.2388009	0.2741182	0.1528946	0.2935678	4.698112
1368	-1431.911	-1598.689	166.7779	0.9802197	1.2911	0.2388009	0.2946739	0.2132228	0.1599814	4.360383
1374	-1428.947	-1595.917	166.9698	1.169474	0.9692578	0.2983943	0.2739677	0.3834544	0.1927167	4.190205
1380	-1421.412	-1586.786	165.3734	1.056967	0.9470293	0.3238889	0.3864199	0.3834544	0.5039126	4.910193
1386	-1414.918	-1580.856	165.9386	0.9041492	1.107125	0.3238889	0.4153069	0.3834544	0.4219122	4.61993
1392	-1437.878	-1602.404	164.5265	1.017372	0.9702169	0.3482053	0.5485901	0.3834544	0.2564986	5.421852
1398	-1442.466	-1608.147	165.6813	1.18563	0.6911502	0.4680153	0.2457872	0.4544409	0.479908	4.78179
