Iteration	Posterior	Likelihood	Prior	acrv_sd	tree_length
2628	-384.2049	-555.8987	171.6937	0.04448336	2.188035
2634	-393.5477	-563.3419	169.7942	0.2317495	3.240547
2640	-393.3687	-563.914	170.5453	0.08252279	2.880764
2646	-391.2886	-561.9504	170.6618	0.1958847	2.740946
2652	-407.8182	-579.2638	171.4456	0.009800172	2.369218
2658	-390.7819	-562.2829	171.501	0.2276536	2.194259
2664	-396.7662	-567.182	170.4159	0.5960205	2.646277
2670	-396.5139	-567.3815	170.8677	0.579899	2.37418
2676	-385.4027	-556.2424	170.8398	0.6078027	2.37418
2682	-378.6583	-549.7341	171.0758	0.4732352	2.309674
2688	-374.3248	-545.7017	171.3769	0.4795364	2.110985
2694	-376.2066	-546.9411	170.7345	0.4442901	2.542907
2700	-382.268	-554.0877	171.8197	0.3837434	1.879374
2706	-391.1932	-562.7253	171.5321	0.09225847	2.261453
2712	-390.6505	-560.8267	170.1762	1.465645	2.25021
2718	-389.8092	-560.6897	170.8805	0.347026	2.51254
2724	-389.0632	-559.2414	170.1782	0.6406405	2.764699
2730	-381.8318	-552.6324	170.8006	0.5754213	2.419413
2736	-383.0601	-554.2888	171.2287	0.3897966	2.265262
