Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
888	-636.8685	-802.0335	165.1651	0.2548787	0.5208465	0.9306438	1.650842	0.299127	0.700873	0.38657	0.61343	3.729498
894	-628.8086	-792.1359	163.3273	0.3917864	0.7194228	0.8155059	1.099618	0.550777	0.449223	0.405187	0.594813	4.923671
900	-639.8039	-802.5978	162.7939	0.07341495	0.7194228	0.5702696	0.913581	0.496758	0.503242	0.347699	0.652301	5.632813
906	-638.039	-802.2755	164.2365	0.03027464	0.765009	1.043169	1.265593	0.638172	0.361828	0.698814	0.301186	4.430517
912	-623.6451	-788.9288	165.2836	0.03836514	0.595458	0.9733231	1.287663	0.566364	0.433636	0.569796	0.430204	3.883355
918	-622.2981	-788.5439	166.2458	0.1108376	0.399865	0.9733231	1.459016	0.597326	0.402674	0.426728	0.573272	3.253891
924	-629.6829	-796.4135	166.7305	0.1587862	0.4748171	0.8166507	1.611978	0.597326	0.402674	0.487462	0.512538	2.913744
930	-644.789	-810.622	165.833	0.7534406	0.6976026	0.6729856	1.282587	0.6615	0.3385	0.413206	0.586794	3.299069
936	-654.5899	-819.0222	164.4323	0.7534406	0.400745	0.6682189	1.848547	0.629109	0.370891	0.427982	0.572018	3.888574
942	-655.3253	-819.4626	164.1373	0.7534406	0.8498849	0.884798	1.64427	0.518621	0.481379	0.423881	0.576119	3.838546
948	-649.0596	-813.3891	164.3295	0.2902503	0.5871125	0.884798	1.553606	0.501409	0.498591	0.482896	0.517104	4.176253
954	-643.9192	-809.5866	165.6675	0.4370928	0.6183402	0.884798	1.446587	0.57543	0.42457	0.497423	0.502577	3.373292
960	-653.5145	-818.5278	165.0133	0.1586713	0.481315	0.8285136	1.408768	0.676281	0.323719	0.382519	0.617481	4.071289
966	-642.5114	-807.3919	164.8805	0.007619186	0.5793047	0.9846357	1.24987	0.591022	0.408978	0.539229	0.460771	4.154315
972	-644.6181	-811.1111	166.493	0.02447864	0.5077742	0.6351359	1.354482	0.483658	0.516342	0.363111	0.636889	3.388578
978	-626.2889	-791.9366	165.6477	0.1472376	0.4323131	0.9528126	1.283356	0.489878	0.510122	0.591351	0.408649	3.683574
984	-632.5594	-798.2182	165.6588	0.1552108	0.4865324	0.9131683	1.431102	0.610342	0.389658	0.435713	0.564287	3.604037
990	-628.582	-792.8123	164.2303	0.5179417	0.862369	0.7516742	1.043343	0.644112	0.355888	0.435713	0.564287	4.351308
996	-635.7988	-799.5984	163.7996	0.5179417	0.9343753	0.9332261	1.248149	0.644112	0.355888	0.62437	0.37563	4.351308
1002	-640.0535	-803.9424	163.8889	0.418554	0.9732774	0.7978509	1.001536	0.621794	0.378206	0.62437	0.37563	4.542088
1008	-641.7515	-806.8707	165.1192	0.418554	0.8130617	0.7978509	1.210236	0.510564	0.489436	0.716764	0.283236	3.838803
1014	-631.3682	-796.0073	164.6391	0.3197597	0.6504498	0.9661327	1.110997	0.599186	0.400814	0.533993	0.466007	4.171248
1020	-627.6249	-790.7976	163.1727	0.1447125	1.058859	0.8041665	0.884478	0.575401	0.424599	0.346833	0.653167	5.107611
1026	-639.5935	-802.3037	162.7102	0.0534344	0.6664599	0.7985645	0.8311869	0.483625	0.516375	0.427207	0.572793	5.628824
1032	-626.8228	-789.7444	162.9217	0.281856	0.5988375	0.741845	0.8427195	0.652777	0.347223	0.477674	0.522326	5.463731
1038	-627.6182	-790.5692	162.9511	0.5389133	0.5565115	0.7587356	0.7479546	0.652777	0.347223	0.477674	0.522326	5.367497
